2023-11-30 03:14:32,680 INFO    StreamThr :11358 [internal.py:wandb_internal():86] W&B internal server running at pid: 11358, started at: 2023-11-30 03:14:32.680348
2023-11-30 03:14:32,682 DEBUG   HandlerThread:11358 [handler.py:handle_request():146] handle_request: status
2023-11-30 03:14:32,683 INFO    WriterThread:11358 [datastore.py:open_for_write():85] open: /home/ubuntu/LLM/wandb/run-20231130_031432-455lj85b/run-455lj85b.wandb
2023-11-30 03:14:32,683 DEBUG   SenderThread:11358 [sender.py:send():380] send: header
2023-11-30 03:14:32,685 DEBUG   SenderThread:11358 [sender.py:send():380] send: run
2023-11-30 03:14:33,132 INFO    SenderThread:11358 [dir_watcher.py:__init__():211] watching files in: /home/ubuntu/LLM/wandb/run-20231130_031432-455lj85b/files
2023-11-30 03:14:33,132 INFO    SenderThread:11358 [sender.py:_start_run_threads():1124] run started: 455lj85b with start time 1701314072.680331
2023-11-30 03:14:33,140 DEBUG   HandlerThread:11358 [handler.py:handle_request():146] handle_request: check_version
2023-11-30 03:14:33,140 DEBUG   SenderThread:11358 [sender.py:send_request():407] send_request: check_version
2023-11-30 03:14:33,223 DEBUG   HandlerThread:11358 [handler.py:handle_request():146] handle_request: run_start
2023-11-30 03:14:33,227 DEBUG   HandlerThread:11358 [system_info.py:__init__():32] System info init
2023-11-30 03:14:33,227 DEBUG   HandlerThread:11358 [system_info.py:__init__():47] System info init done
2023-11-30 03:14:33,227 INFO    HandlerThread:11358 [system_monitor.py:start():194] Starting system monitor
2023-11-30 03:14:33,227 INFO    SystemMonitor:11358 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-30 03:14:33,228 INFO    HandlerThread:11358 [system_monitor.py:probe():214] Collecting system info
2023-11-30 03:14:33,228 INFO    SystemMonitor:11358 [interfaces.py:start():190] Started cpu monitoring
2023-11-30 03:14:33,229 INFO    SystemMonitor:11358 [interfaces.py:start():190] Started disk monitoring
2023-11-30 03:14:33,230 INFO    SystemMonitor:11358 [interfaces.py:start():190] Started gpu monitoring
2023-11-30 03:14:33,230 INFO    SystemMonitor:11358 [interfaces.py:start():190] Started memory monitoring
2023-11-30 03:14:33,231 INFO    SystemMonitor:11358 [interfaces.py:start():190] Started network monitoring
2023-11-30 03:14:33,252 DEBUG   HandlerThread:11358 [system_info.py:probe():196] Probing system
2023-11-30 03:14:33,253 DEBUG   HandlerThread:11358 [system_info.py:_probe_git():181] Probing git
2023-11-30 03:14:33,257 DEBUG   HandlerThread:11358 [system_info.py:_probe_git():189] Probing git done
2023-11-30 03:14:33,257 DEBUG   HandlerThread:11358 [system_info.py:probe():244] Probing system done
